alternative	替代
circumstance	环境
comment	评论
compensate	补偿
component	元件
consent	同意
considerable	可观
constant	不变
constrain	压抑
contribute	贡献
convene	召开
coordinate	协调
core	核心
corporate	企业
correspond	对应
criteria	标准
deduce	推断
demonstrate	演示
document	文件
dominate	主宰
emphasis	重点
ensure	确保
exclude	排除
framework	骨架
fund	基金
illustrate	说明
immigrate	移民
imply	暗示
initial	初始
instance	例
interact	相互作用
justify	辩解
layer	层
link	链接
locate	定位
maximise	最大化
minor	未成年人
negate	否定
outcome	结果
partner	伙伴
philosophy	哲学
physical	物理
proportion	比例
publish	发布
react	应对
register	注册
rely	依靠
remove	消除
scheme	方案
sequence	序列
sex	性别
shift	转移
specify	指定
sufficient	足够
task	任务
technical	技术
technique	技术
technology	技术
valid	有效
volume	量
