achieve	实现
acquire	获得
administrate	行政
affect	影响
appropriate	适当
aspect	方面
assist	协助
category	类别
chapter	章
commission	佣金
community	社区
complex	复杂
compute	计算
conclude	断定
conduct	进行
consequent	结果
construct	建设
consume	消耗
credit	信用
culture	文化
design	设计
distinct	不同
element	元素
equate	等同
evaluate	评估
feature	特点
final	最终
focus	集中
impact	碰撞
injure	伤害
institute	研究所
invest	投资
item	项目
journal	刊物
maintain	维持
normal	正常
obtain	获得
participate	参与
perceive	感知
positive	积极
potential	潜力
previous	前
primary	主要
purchase	采购
range	范围
region	地区
regulate	调节
relevant	相应
reside	居住
resource	资源
restrict	限制
secure	安全
seek	寻求
select	选择
site	现场
strategy	战略
survey	调查
text	文本
tradition	传统
transfer	转让
